game_id,season,week,neutral_site,home_games_played,home_wins,home_losses,home_points_scored_total,home_points_allowed_total,home_points_scored_avg,home_points_allowed_avg,home_point_differential_avg,home_win_pct,home_total_yards_avg,home_passing_yards_avg,home_rushing_yards_avg,home_turnovers_avg,home_first_downs_avg,home_third_down_pct,home_penalties_avg,home_penalty_yards_avg,away_games_played,away_wins,away_losses,away_points_scored_total,away_points_allowed_total,away_points_scored_avg,away_points_allowed_avg,away_point_differential_avg,away_win_pct,away_total_yards_avg,away_passing_yards_avg,away_rushing_yards_avg,away_turnovers_avg,away_first_downs_avg,away_third_down_pct,away_penalties_avg,away_penalty_yards_avg,win_pct_diff,points_scored_diff,points_allowed_diff,point_differential_diff,yards_diff,passing_yards_diff,rushing_yards_diff,turnovers_diff,h2h_games,h2h_win_pct,home_recent_win_pct,away_recent_win_pct,recent_form_diff,home_score,away_score,home_win,point_differential,spread,total,covered_spread
401752696,2024,3,0,2,1,1,90,31,45.0,15.5,29.5,0.5,0,0,0,0,0,0,0,0,2,2,0,59,10,29.5,5.0,24.5,1.0,0,0,0,0,0,0,0,0,-0.5,15.5,10.5,5.0,0,0,0,0,0,0.5,0,0,0,38,14,1,24,,,
401752697,2024,3,0,2,2,0,80,27,40.0,13.5,26.5,1.0,0,0,0,0,0,0,0,0,2,1,1,69,54,34.5,27.0,7.5,0.5,0,0,0,0,0,0,0,0,0.5,5.5,-13.5,19.0,0,0,0,0,0,0.5,0,0,0,31,15,1,16,,,
401752698,2024,3,0,2,1,1,47,46,23.5,23.0,0.5,0.5,0,0,0,0,0,0,0,0,2,0,2,50,80,25.0,40.0,-15.0,0.0,0,0,0,0,0,0,0,0,0.5,-1.5,-17.0,15.5,0,0,0,0,0,0.5,0,0,0,48,23,1,25,,,
401752699,2024,3,0,2,2,0,40,17,20.0,8.5,11.5,1.0,0,0,0,0,0,0,0,0,2,1,1,71,18,35.5,9.0,26.5,0.5,0,0,0,0,0,0,0,0,0.5,-15.5,-0.5,-15.0,0,0,0,0,0,0.5,0,0,0,20,10,1,10,,,
401752700,2024,3,0,2,2,0,93,30,46.5,15.0,31.5,1.0,0,0,0,0,0,0,0,0,2,2,0,108,21,54.0,10.5,43.5,1.0,0,0,0,0,0,0,0,0,0.0,-7.5,4.5,-12.0,0,0,0,0,0,0.5,0,0,0,41,35,1,6,,,
401752701,2024,3,0,2,2,0,58,37,29.0,18.5,10.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,29.0,18.5,10.5,0,0,0,0,0,0.5,0,0,0,63,0,1,63,,,
401752702,2024,3,0,2,2,0,103,37,51.5,18.5,33.0,1.0,0,0,0,0,0,0,0,0,2,1,1,46,24,23.0,12.0,11.0,0.5,0,0,0,0,0,0,0,0,0.5,28.5,6.5,22.0,0,0,0,0,0,0.5,0,0,0,52,10,1,42,,,
401752703,2024,3,0,2,2,0,97,17,48.5,8.5,40.0,1.0,0,0,0,0,0,0,0,0,2,2,0,59,16,29.5,8.0,21.5,1.0,0,0,0,0,0,0,0,0,0.0,19.0,0.5,18.5,0,0,0,0,0,0.5,0,0,0,3,42,0,-39,,,
401752704,2024,3,0,2,2,0,62,21,31.0,10.5,20.5,1.0,0,0,0,0,0,0,0,0,2,2,0,89,23,44.5,11.5,33.0,1.0,0,0,0,0,0,0,0,0,0.0,-13.5,-1.0,-12.5,0,0,0,0,0,0.5,0,0,0,7,31,0,-24,,,
401752705,2024,3,0,2,2,0,117,43,58.5,21.5,37.0,1.0,0,0,0,0,0,0,0,0,2,2,0,73,13,36.5,6.5,30.0,1.0,0,0,0,0,0,0,0,0,0.0,22.0,15.0,7.0,0,0,0,0,0,0.5,0,0,0,41,44,0,-3,,,
