Unnamed: 0,Spread,Total,Moneyline,Unnamed: 4,Unnamed: 5,Unnamed: 6
101 UMass,0-9 ATS 3%,6-3 O/U 26%,0-10 SU 10%,,,
102 Ohio,6-3 ATS 97%,3-6 O/U 74%,6-4 SU 90%,,,
Open,OHIO -29.5,o51.5,-10000,,,
Consensus,OHIO -32.5,o51.5,-20000,,,
Matchup,Matchup,Matchup,Matchup,,,
,,,,,,
,Spread,Total,Moneyline,,,
103 Akron,4-6 ATS 92%,6-4 O/U 29%,4-7 SU 12%,Create Free Account,Create Free Account,Create Free Account
104 Bowling Green,4-5 ATS 8%,4-5 O/U 71%,3-7 SU 88%,Create Free Account,Create Free Account,Create Free Account
Open,BGSU -4.5,o47.5,-185,,,
Consensus,BGSU -3.5,o47.5,-180,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
105 Western Michigan,6-3 ATS 18%,3-6 O/U 50%,6-4 SU 87%,Create Free Account,Create Free Account,Create Free Account
106 Northern Illinois,3-6 ATS 82%,4-5 O/U 50%,3-7 SU 13%,Create Free Account,Create Free Account,Create Free Account
Open,WMU -5.5,o38.5,-225,,,
Consensus,WMU -6,o38.5,-218,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
107 Miami (OH),4-5 ATS 43%,5-4 O/U 44%,5-5 SU 21%,Create Free Account,Create Free Account,Create Free Account
108 Buffalo,2-7 ATS 57%,4-5 O/U 56%,5-5 SU 79%,Create Free Account,Create Free Account,Create Free Account
Open,BUFF -2.5,o39.5,-135,,,
Consensus,BUFF -1.5,o39.5,-125,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
109 Central Michigan,6-3 ATS 27%,6-3 O/U 23%,6-4 SU 93%,Create Free Account,Create Free Account,Create Free Account
110 Kent State,5-4 ATS 73%,5-4 O/U 77%,4-6 SU 7%,Create Free Account,Create Free Account,Create Free Account
Open,CMU -7,o45.5,-285,,,
Consensus,CMU -8.5,o47.5,-340,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
113 Louisiana,4-5 ATS 50%,6-3 O/U 11%,4-6 SU 15%,Create Free Account,Create Free Account,Create Free Account
114 Arkansas State,6-3 ATS 50%,1-8 O/U 89%,5-5 SU 85%,Create Free Account,Create Free Account,Create Free Account
Open,ARST -3.5,o54.5,-148,,,
Consensus,ARST -3,o53.5,-142,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
115 Florida State,4-5 ATS 37%,4-5 O/U 2%,5-5 SU 93%,Create Free Account,Create Free Account,Create Free Account
116 North Carolina State,4-5 ATS 63%,5-4 O/U 98%,5-5 SU 7%,Create Free Account,Create Free Account,Create Free Account
Open,FSU -2.5,o61.5,-192,,,
Consensus,FSU -4.5,o61.5,-198,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
117 Hawai'i,6-3 ATS 64%,4-5 O/U 5%,7-3 SU 9%,Create Free Account,Create Free Account,Create Free Account
118 UNLV,5-4 ATS 36%,4-5 O/U 95%,8-2 SU 91%,Create Free Account,Create Free Account,Create Free Account
Open,UNLV -3,o64.5,-135,,,
Consensus,UNLV -3,o64.5,-155,,,
Matchup,Matchup,Matchup,Matchup,,,
,Spread,Total,Moneyline,,,
