season,date,bowl_name,winner,winner_rank,winner_score,loser,loser_rank,loser_score,margin,total_points
2021,2022-01-10,College Football Playoff National Championship,Georgia,3,33,Alabama,1,18,15,51
2021,2022-01-04,Texas Bowl,Kansas State,,42,Louisiana State,,20,22,62
2021,2022-01-01,Sugar Bowl,Baylor,6,21,Mississippi,8,7,14,28
2021,2022-01-01,Rose Bowl,Ohio State,7,48,Utah,10,45,3,93
2021,2022-01-01,Citrus Bowl,Kentucky,25,20,Iowa,17,17,3,37
2021,2022-01-01,Fiesta Bowl,Oklahoma State,9,37,Notre Dame,5,35,2,72
2021,2022-01-01,Outback Bowl,Arkansas,22,24,Penn State,,10,14,34
2021,2021-12-31,Orange Bowl,Georgia,3,34,Michigan,2,11,23,45
2021,2021-12-31,Cotton Bowl,Alabama,1,27,Cincinnati,4,6,21,33
2021,2021-12-31,Sun Bowl,Central Michigan,,24,Washington State,,21,3,45
2021,2021-12-31,Gator Bowl,Wake Forest,20,38,Rutgers,,10,28,48
2021,2021-12-30,Las Vegas Bowl,Wisconsin,,20,Arizona State,,13,7,33
2021,2021-12-30,Peach Bowl,Michigan State,11,31,Pittsburgh,13,21,10,52
2021,2021-12-30,Music City Bowl,Purdue,,48,Tennessee,,45,3,93
2021,2021-12-30,Duke's Mayo Bowl,South Carolina,,38,North Carolina,,21,17,59
2021,2021-12-29,Alamo Bowl,Oklahoma,14,47,Oregon,15,32,15,79
2021,2021-12-29,Cheez-It Bowl,Clemson,19,20,Iowa State,,13,7,33
2021,2021-12-29,Pinstripe Bowl,Maryland,,54,Virginia Tech,,10,44,64
2021,2021-12-28,Guaranteed Rate Bowl,Minnesota,,18,West Virginia,,6,12,24
2021,2021-12-28,Liberty Bowl,Texas Tech,,34,Mississippi State,,7,27,41
2021,2021-12-28,First Responder Bowl,Air Force,,31,Louisville,,28,3,59
2021,2021-12-28,Birmingham Bowl,Houston,21,17,Auburn,,13,4,30
2021,2021-12-27,Quick Lane Bowl,Western Michigan,,52,Nevada,,24,28,76
2021,2021-12-25,Camellia Bowl,Georgia State,,51,Ball State,,20,31,71
2021,2021-12-23,Union Home Mortgage Gasparilla Bowl,Central Florida,,29,Florida,,17,12,46
2021,2021-12-23,Frisco Football Classic,Miami (OH),,27,North Texas,,14,13,41
2021,2021-12-22,Armed Forces Bowl,Army,,24,Missouri,,22,2,46
2021,2021-12-21,Frisco Bowl,San Diego State,,38,Texas-San Antonio,24,24,14,62
2021,2021-12-21,Famous Idaho Potato Bowl,Wyoming,,52,Kent State,,38,14,90
2021,2021-12-20,Myrtle Beach Bowl,Tulsa,,30,Old Dominion,,17,13,47
2021,2021-12-18,New Orleans Bowl,Louisiana,16,36,Marshall,,21,15,57
2021,2021-12-18,LA Bowl,Utah State,,24,Oregon State,,13,11,37
2021,2021-12-18,LendingTree Bowl,Liberty,,56,Eastern Michigan,,20,36,76
2021,2021-12-18,Independence Bowl,Alabama-Birmingham,,31,Brigham Young,12,28,3,59
2021,2021-12-18,New Mexico Bowl,Fresno State,,31,Texas-El Paso,,24,7,55
2021,2021-12-18,Boca Raton Bowl,Western Kentucky,,59,Appalachian State,,38,21,97
2021,2021-12-17,Cure Bowl,Coastal Carolina,,47,Northern Illinois,,41,6,88
2021,2021-12-17,Bahamas Bowl,Middle Tennessee State,,31,Toledo,,24,7,55
2022,2023-01-09,College Football Playoff National Championship,Georgia,1,65,Texas Christian,3,7,58,72
2022,2023-01-02,Rose Bowl,Penn State,9,35,Utah,7,21,14,56
2022,2023-01-02,Citrus Bowl,Louisiana State,16,63,Purdue,,7,56,70
2022,2023-01-02,Cotton Bowl,Tulane,14,46,Southern California,8,45,1,91
2022,2023-01-02,ReliaQuest Bowl,Mississippi State,24,19,Illinois,,10,9,29
2022,2022-12-31,Peach Bowl,Georgia,1,42,Ohio State,4,41,1,83
2022,2022-12-31,Fiesta Bowl,Texas Christian,3,51,Michigan,2,45,6,96
2022,2022-12-31,Music City Bowl,Iowa,,21,Kentucky,,0,21,21
2022,2022-12-31,Sugar Bowl,Alabama,5,45,Kansas State,11,20,25,65
2022,2022-12-30,Orange Bowl,Tennessee,6,31,Clemson,10,14,17,45
2022,2022-12-30,Arizona Bowl,Ohio,,30,Wyoming,,27,3,57
2022,2022-12-30,Gator Bowl,Notre Dame,19,45,South Carolina,20,38,7,83
2022,2022-12-30,Sun Bowl,Pittsburgh,,37,UCLA,18,35,2,72
2022,2022-12-30,Duke's Mayo Bowl,Maryland,,16,North Carolina State,25,12,4,28
2022,2022-12-29,Alamo Bowl,Washington,12,27,Texas,21,20,7,47
2022,2022-12-29,Cheez-It Bowl,Florida State,13,35,Oklahoma,,32,3,67
2022,2022-12-29,Pinstripe Bowl,Minnesota,,28,Syracuse,,20,8,48
2022,2022-12-28,Texas Bowl,Texas Tech,,42,Mississippi,,25,17,67
2022,2022-12-28,Holiday Bowl,Oregon,15,28,North Carolina,,27,1,55
2022,2022-12-28,Liberty Bowl,Arkansas,,55,Kansas,,53,2,108
2022,2022-12-28,Military Bowl,Duke,,30,Central Florida,,13,17,43
2022,2022-12-27,Guaranteed Rate Bowl,Wisconsin,,24,Oklahoma State,,17,7,41
2022,2022-12-27,Birmingham Bowl,East Carolina,,53,Coastal Carolina,,29,24,82
2022,2022-12-27,First Responder Bowl,Memphis,,38,Utah State,,10,28,48
2022,2022-12-27,Camellia Bowl,Buffalo,,23,Georgia Southern,,21,2,44
2022,2022-12-26,Quick Lane Bowl,New Mexico State,,24,Bowling Green,,19,5,43
2022,2022-12-24,Hawaii Bowl,Middle Tennessee State,,25,San Diego State,,23,2,48
2022,2022-12-23,Union Home Mortgage Gasparilla Bowl,Wake Forest,,27,Missouri,,17,10,44
2022,2022-12-23,Independence Bowl,Houston,,23,Louisiana,,16,7,39
2022,2022-12-22,Armed Forces Bowl,Air Force,,30,Baylor,,15,15,45
2022,2022-12-21,New Orleans Bowl,Western Kentucky,,44,South Alabama,,23,21,67
2022,2022-12-20,Boca Raton Bowl,Toledo,,21,Liberty,,19,2,40
2022,2022-12-20,Famous Idaho Potato Bowl,Eastern Michigan,,41,San Jose State,,27,14,68
2022,2022-12-19,Myrtle Beach Bowl,Marshall,,28,Connecticut,,14,14,42
2022,2022-12-17,Frisco Bowl,Boise State,,35,North Texas,,32,3,67
2022,2022-12-17,New Mexico Bowl,Brigham Young,,24,Southern Methodist,,23,1,47
2022,2022-12-17,LendingTree Bowl,Southern Mississippi,,38,Rice,,24,14,62
2022,2022-12-17,LA Bowl,Fresno State,,29,Washington State,,6,23,35
