feature,correlation,p_value,n_samples
scoring_pct_diff,0.05636636423636345,0.11881958994153263,767
penalties_diff,-0.05318417610871533,0.008974485823638348,2413
time_per_drive_allowed_diff,0.044556824455345555,0.2177286245229074,767
yards_per_drive_diff,0.03589463507675538,0.3208112801362861,767
possession_time_allowed_diff,0.03186850491115878,0.11757341395249285,2413
possession_time_diff,-0.030720040149938562,0.13139769867060927,2413
num_drives_allowed_diff,0.02781197825334304,0.44181094764081946,767
passing_yards_diff,-0.027298531885107263,0.18007584105290586,2413
yards_per_drive_allowed_diff,-0.026499479971098888,0.46366296918455413,767
num_drives_diff,0.023824196218768395,0.5100094913624659,767
turnovers_diff,0.022536213626981594,0.2684679945157407,2413
first_downs_diff,-0.022192748419390142,0.27583293422254035,2413
total_yards_diff,-0.016552830344281694,0.4163628979862742,2413
third_down_pct_diff,-0.015011693928966754,0.4610808045789762,2413
time_per_drive_diff,-0.01484571156131128,0.6814387999482484,767
points_allowed_allowed_diff,-0.012415834493444794,0.5421256327633309,2413
points_diff,-0.012415834493444794,0.5421256327633309,2413
scoring_pct_allowed_diff,0.012170219138473702,0.7364832161955697,767
turnovers_allowed_diff,-0.010360267987939724,0.6109834786070614,2413
rushing_yards_diff,0.009068593648959827,0.6561401960582256,2413
penalties_allowed_diff,-0.0080129365226137,0.6940121015685068,2413
third_down_pct_allowed_diff,-0.005652692444005637,0.7813719651069313,2413
points_allowed_diff,-0.0031087335706151036,0.8786905587442942,2413
rushing_yards_allowed_diff,-0.0023041573682001664,0.9099298662347808,2413
total_yards_allowed_diff,-0.0011898080251164813,0.9534173984574459,2413
first_downs_allowed_diff,-0.0009341222467356024,0.9634198721788197,2413
passing_yards_allowed_diff,0.00047697409767438086,0.9813169076351674,2413
