feature,correlation,p_value,n_samples
rushing_yards_diff,0.06750369301681074,0.12789777856491877,510
points_allowed_diff,-0.05602626541604157,0.20653926417610613,510
turnovers_allowed_diff,0.0560260734884829,0.2065408214258042,510
turnovers_diff,0.04886350221262053,0.2707036474666202,510
scoring_pct_allowed_diff,-0.047580606791298975,0.2834989750056846,510
first_downs_allowed_diff,0.04745188687746194,0.28480498047248215,510
time_per_drive_allowed_diff,0.046933236540086146,0.2901083285516149,510
scoring_pct_diff,0.041970431367501136,0.3441909695562563,510
possession_time_diff,-0.04004752074602275,0.3667683384676114,510
rushing_yards_allowed_diff,-0.03897553177377018,0.37974542968428016,510
points_diff,0.03626075941561853,0.4138469073575641,510
points_allowed_allowed_diff,0.03626075941561853,0.4138469073575641,510
yards_per_drive_allowed_diff,0.036079668489639304,0.41618418846744026,510
possession_time_allowed_diff,0.03442238200511161,0.43793247869027285,510
total_yards_diff,0.028972599014013004,0.5138691124990924,510
yards_per_drive_diff,0.02716886741447347,0.5404273380653972,510
time_per_drive_diff,-0.022971702340871487,0.6047587086031136,510
passing_yards_allowed_diff,0.021811136713605316,0.6231332053902305,510
passing_yards_diff,-0.019330613546133267,0.6631877557821687,510
third_down_pct_allowed_diff,0.01244529029962334,0.7791894716589831,510
num_drives_diff,0.010160331875314838,0.8189501470087956,510
third_down_pct_diff,-0.008832072676828655,0.8422856263658416,510
total_yards_allowed_diff,-0.006774393524177004,0.8787029172368855,510
num_drives_allowed_diff,-0.0023866932397250125,0.957120846526678,510
first_downs_diff,0.0009899799826840923,0.9822070192282626,510
